100
95	14
55	-95
84	93
-54	40
-75	-88
46	34
-46	-98
-60	8
-59	87
-62	-60
94	26
-54	-42
80	75
58	-2
20	-49
-96	77
41	18
-51	-22
18	72
-46	-34
-30	55
-42	-41
-22	26
-69	67
81	23
70	4
35	-41
86	37
69	-98
-100	-33
78	7
46	20
9	79
-15	-99
84	-6
-94	22
-33	21
-81	80
25	100
-93	80
-19	34
-65	50
55	-48
-44	-28
45	19
-44	16
60	-63
24	-33
-80	28
55	-72
-25	-1
-96	-82
100	26
-23	-40
30	-89
-45	80
7	18
-7	65
-95	-98
-79	48
93	-28
43	-8
-78	-64
-62	71
60	89
25	-9
-80	-39
93	-42
39	82
-27	-5
56	67
98	-83
32	90
5	-53
70	68
-41	54
41	-39
47	-16
21	-40
84	-17
-39	24
-32	-16
-71	-50
-14	40
-72	-45
98	0
-64	-28
67	50
85	38
77	94
-27	99
81	-32
-4	-47
-90	68
60	28
-17	-17
36	63
1	48
-34	-67
76	-73
